LON,LAT,EDO,CLAVE,ESTACION,01/07/18,,,,,
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",57.2,,,,,
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",359.1,,,,,
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",192.7,,,,,
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",115.1,,,,,
-92.402778,14.997222,CHIS,HUECP,"Huehuet·n, Chis.",98.0,,,,,
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",470.1,,,,,
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. OCFS*",447.2,,,,,
-92.184722,14.626111,CHIS,ILRAYON,"Ignacio LÛpez RayÛn, Chis. OCFS*",20.9,,,,,
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",120.2,,,,,
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",91.8,,,,,
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",136.3,,,,,
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",143.1,,,,,
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",102.4,,,,,
-93.28,17.96,CHIS,MACAYOMI,"Macayo Margen Izquierda, Chis. SGT*",86.8,,,,,
-93.598889,17.178611,CHIS,MALCP,"NezahualcÛyotl, Chis.",182.8,,,,,
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",443.5,,,,,
-92.0025,16.002222,CHIS,MOZCP,"Mozotal, Chis.",45.0,,,,,
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",1.6,,,,,
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",142.6,,,,,
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",8.2,,,,,
-91.967778,15.849444,CHIS,PCONCONDIACFE,"Puente Concordia, Chis. CFE*",7.9,,,,,
-93.458611,17.446111,CHIS,PENCP,"¡ngel Albino Corzo, Chis.",215.3,,,,,
-93.457778,17.445,CHIS,PENITASCFE,"PeÒitas, Chis. CFE*",232.9,,,,,
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",173.7,,,,,
-93.186667,16.753889,CHIS,PTECLUBCAMP,"Puente Club Campestre, Chis. SGT*",73.5,,,,,
